LECROYHDO6104A,50476,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,23-Jun-2025 11:38:38,0                 
Time,Ampl
2.7494861e-06,-0.0001
2.7495861e-06,-0.0001
2.7496861e-06,-0.0001
2.7497861e-06,-9.375e-05
2.7498861e-06,-6.875e-05
2.7499861e-06,0
2.7500861e-06,0.0001125
2.7501861e-06,0.00025
2.7502861e-06,0.0003625
2.7503861e-06,0.0004
2.7504861e-06,0.00035
2.7505861e-06,0.0002375
2.7506861e-06,0.0001
2.7507861e-06,0
2.7508861e-06,-3.125e-05
2.7509861e-06,6.25e-06
2.7510861e-06,6.875e-05
2.7511861e-06,0.0001
2.7512861e-06,5.625e-05
2.7513861e-06,-6.875e-05
2.7514861e-06,-0.0002375
2.7515861e-06,-0.0004
2.7516861e-06,-0.0005
2.7517861e-06,-0.00051875
2.7518861e-06,-0.00046875
2.7519861e-06,-0.0004
2.7520861e-06,-0.00035
2.7521861e-06,-0.00034375
2.7522861e-06,-0.000375
2.7523861e-06,-0.0004
2.7524861e-06,-0.0003875
2.7525861e-06,-0.00031875
2.7526861e-06,-0.0002125
2.7527861e-06,-0.0001
2.7528861e-06,-3.75e-05
2.7529861e-06,-5.625e-05
2.7530861e-06,-0.00015
2.7531861e-06,-0.0003
2.7532861e-06,-0.00044375
2.7533861e-06,-0.00051875
2.7534861e-06,-0.00050625
2.7535861e-06,-0.0004
2.7536861e-06,-0.00023125
2.7537861e-06,-4.375e-05
2.7538861e-06,0.0001125
2.7539861e-06,0.0002
2.7540861e-06,0.0002125
2.7541861e-06,0.00016875
2.7542861e-06,8.125e-05
2.7543861e-06,0
2.7544861e-06,-6.25e-05
2.7545861e-06,-9.375e-05
2.7546861e-06,-0.00010625
2.7547861e-06,-0.0001
2.7548861e-06,-0.00010625
2.7549861e-06,-0.000125
2.7550861e-06,-0.0001625
2.7551861e-06,-0.0002
2.7552861e-06,-0.000225
2.7553861e-06,-0.0002125
2.7554861e-06,-0.0001625
2.7555861e-06,-0.0001
2.7556861e-06,-4.375e-05
2.7557861e-06,-3.75e-05
2.7558861e-06,-8.75e-05
2.7559861e-06,-0.0002
2.7560861e-06,-0.0003375
2.7561861e-06,-0.0004625
2.7562861e-06,-0.000525
2.7563861e-06,-0.0005
2.7564861e-06,-0.00040625
2.7565861e-06,-0.00029375
2.7566861e-06,-0.00020625
2.7567861e-06,-0.0002
2.7568861e-06,-0.00028125
2.7569861e-06,-0.0004125
2.7570861e-06,-0.0005375
2.7571861e-06,-0.0006
2.7572861e-06,-0.00055625
2.7573861e-06,-0.00041875
2.7574861e-06,-0.0002375
2.7575861e-06,-0.0001
2.7576861e-06,-6.875e-05
2.7577861e-06,-0.00016875
2.7578861e-06,-0.00036875
2.7579861e-06,-0.0006
2.7580861e-06,-0.00076875
2.7581861e-06,-0.00080625
2.7582861e-06,-0.0007
2.7583861e-06,-0.0005
2.7584861e-06,-0.0002875
2.7585861e-06,-0.00014375
2.7586861e-06,-0.00011875
2.7587861e-06,-0.0002
2.7588861e-06,-0.00033125
2.7589861e-06,-0.0004375
2.7590861e-06,-0.0004625
2.7591861e-06,-0.0004
2.7592861e-06,-0.0002875
2.7593861e-06,-0.00019375
2.7594861e-06,-0.00019375
2.7595861e-06,-0.0003
2.7596861e-06,-0.0004875
2.7597861e-06,-0.00068125
2.7598861e-06,-0.0008
2.7599861e-06,-0.0008
2.7600861e-06,-0.0006875
2.7601861e-06,-0.0005125
2.7602861e-06,-0.0003625
2.7603861e-06,-0.0003
2.7604861e-06,-0.00034375
2.7605861e-06,-0.00045625
2.7606861e-06,-0.00056875
2.7607861e-06,-0.0006
2.7608861e-06,-0.000525
2.7609861e-06,-0.00035
2.7610861e-06,-0.00015
2.7611861e-06,0
